edad_anios,antiguedad_laboral_anios,amt_income_total,amt_credit,amt_annuity,calificacion_region_ciudad,CODE_GENDER,ORGANIZATION_TYPE,NAME_EDUCATION_TYPE,default
64,1.316444082104231,53341.54300500931,251152.50164032818,15485.136432451476,2,F,Other,Secondary / secondary special,0
29,5.718357067697054,24813.272693870356,57478.225561377774,4636.254735087693,3,M,Self-employed,Higher education,0
26,8.0,48066.47303414436,203457.05366018586,12195.104793298822,3,F,Other,Higher education,0
27,0.23957841929587328,27542.406136052825,101340.94445352953,11138.104511835829,2,M,Other,Secondary / secondary special,0
61,1.9257546414163385,54231.47173856355,110620.24902088246,6376.359022595766,2,F,Business Entity,Secondary / secondary special,0
34,2.882839605013343,32984.73662016118,90665.10150671437,8685.394842672167,2,F,Business Entity,Secondary / secondary special,0
55,11.47607950776276,49308.89584423718,104591.82548970952,9673.697946704828,3,M,School,Secondary / secondary special,0
24,6.0,29234.428447756472,74052.15601414566,6153.3168953372315,2,M,Business Entity,Higher education,1
63,2.935971420438414,50607.30527957216,184896.52846370416,12845.949531215801,2,F,Self-employed,Secondary / secondary special,0
30,6.9320400807357165,22261.530663857455,62631.23926330774,4902.582697377613,3,M,Business Entity,Secondary / secondary special,0
57,3.7928146852676408,36978.22259866873,106468.00614365505,11333.241482400124,2,M,School,Secondary / secondary special,0
59,3.8586033000884354,59297.1342525983,200944.08423670192,20759.24339790885,2,F,Business Entity,Higher education,0
26,1.6293399104548087,45871.63947042416,82811.35908086628,8423.29303899113,2,M,Government,Secondary / secondary special,0
67,1.222833522149053,39975.193040638595,163330.26453966636,16739.335134407385,1,F,Government,Secondary / secondary special,1
44,1.698424379593157,89480.91755242214,260030.05806646685,15620.537662824798,2,M,Other,Secondary / secondary special,0
19,1.0,60585.95831559299,192747.55033604254,10974.419380607042,2,M,Business Entity,Secondary / secondary special,0
22,0.1479432214478278,55701.92439645572,273499.18102120154,30168.300797162836,2,F,Self-employed,Secondary / secondary special,1
46,11.889180979786342,50463.91924229771,136519.2388097946,14826.292397093552,2,M,Business Entity,Secondary / secondary special,1
54,0.8496949482624814,53709.675228633656,202419.2126916855,19774.794663409226,1,M,Business Entity,Secondary / secondary special,0
55,1.2428752702907666,83162.43357197875,238989.30010636518,22085.81430555528,3,F,Business Entity,Secondary / secondary special,0
36,3.651921546646257,29471.107515427077,136450.9188034435,10326.744640447814,3,M,School,Secondary / secondary special,0
25,6.191350901601731,60156.331796513434,268516.6260132276,17637.72440137917,2,F,Government,Secondary / secondary special,0
65,0.5031312264669411,43401.26835310518,101805.70203749777,9848.271367280751,3,F,Business Entity,Lower secondary,0
62,1.9113903187597234,29984.66104639012,117573.15409984523,13393.043059115984,2,F,Business Entity,Secondary / secondary special,1
18,0.0,34549.12310737458,59704.40824398258,4811.563949335637,2,M,Business Entity,Secondary / secondary special,1
39,1.521381435175264,40521.06902937727,197384.159344365,14058.661664855581,2,F,Self-employed,Secondary / secondary special,1
34,1.8774699039103948,23624.272687299668,64292.640200087684,4433.101430130321,2,M,Government,Secondary / secondary special,0
24,6.0,55938.40131326421,246769.4439182441,12747.953268494455,2,M,Self-employed,Secondary / secondary special,0
42,0.2575951871724761,34495.1594699006,90187.93184054377,7794.236827398535,2,F,Government,Secondary / secondary special,0
62,3.1238287220244834,37890.83651088211,140752.99922878447,16774.45292180021,3,M,Government,Higher education,1
21,2.3870893502474035,71582.16823712784,353799.7177747846,37880.147061000884,1,M,Business Entity,Higher education,1
53,1.9032778281765548,38749.537631245,177032.08779799554,19973.332007089706,1,M,Business Entity,Secondary / secondary special,1
23,1.6822583424770432,78931.38598414324,162699.7413431239,15209.413712852403,2,F,Self-employed,Secondary / secondary special,0
48,0.47910913009689626,27933.801157744307,95427.71733378457,7987.4191046531505,2,M,Government,Secondary / secondary special,0
36,1.890411046596162,20982.941573924578,57070.68943357611,6810.358970358214,2,M,Other,Secondary / secondary special,0
61,0.22003323153533924,31413.82703890572,94875.60002520587,7713.51415013816,2,F,Other,Secondary / secondary special,0
56,7.5925927829393345,8889.64726732117,23763.280161473,2713.247136263475,2,F,Other,Secondary / secondary special,0
44,2.5393815028098192,57118.35949271943,152840.5831357519,15792.885495129194,2,F,Other,Secondary / secondary special,1
27,2.934070181173059,21602.206243440494,73424.52411054577,5372.361541004619,3,F,Government,Secondary / secondary special,1
43,11.202494120704053,26666.204385045814,57915.636834046476,4935.243511417893,2,M,Business Entity,Secondary / secondary special,0
36,5.36552663184348,51955.31394026821,175654.88900862422,13508.395925848381,2,M,Business Entity,Higher education,0
56,0.0404587672709874,38544.185940724354,95450.01379951023,5682.676627902419,2,M,Other,Secondary / secondary special,0
20,2.0,29135.926256660285,73173.1354409765,5486.057829591343,2,F,Business Entity,Incomplete higher,1
62,1.3534330252249012,13117.845233246113,53594.50593926133,6014.809673810492,2,M,Business Entity,Secondary / secondary special,1
30,0.5692835580970248,69591.93860326592,111596.07475187244,11459.186911813515,2,F,School,Secondary / secondary special,0
67,7.307852765086897,52132.30101560493,147706.97861956275,10255.395257473097,3,F,Business Entity,Secondary / secondary special,0
45,3.4705113412222746,101504.72872974108,297040.4265639978,22501.980250474546,2,M,Government,Higher education,0
37,2.8437796126154344,26951.92714664337,86189.17672320268,8028.554099133169,3,F,Government,Secondary / secondary special,0
45,1.4350986571251176,17549.396973353465,67416.68564388053,5334.667978657112,1,M,Self-employed,Secondary / secondary special,1
25,3.9645225599890503,59717.33600869047,166844.48839242393,14217.334095977707,1,F,Government,Higher education,0
58,1.6036758188077747,33056.38574529115,74243.97679599658,7340.634791717383,2,F,Business Entity,Secondary / secondary special,0
56,11.592708896696948,49716.1410777559,228547.83203429595,18902.633386879934,1,F,Business Entity,Higher education,0
18,0.0,81630.45086152035,402734.8652222198,25520.45673633035,1,F,Other,Higher education,1
20,2.0,44093.891990784075,69229.67800266205,5984.225524114955,1,F,Business Entity,Secondary / secondary special,0
30,4.098150795479419,39483.9464887525,134744.257392889,10096.15492287149,2,F,Government,Higher education,0
45,8.815514123272276,40741.454581341786,109837.2637278611,7727.20483520787,1,F,Government,Secondary / secondary special,0
66,6.238683036765433,16016.519014299454,39552.20932478107,2886.0297605486967,1,M,Business Entity,Higher education,0
42,5.965083732518536,63197.4420069038,169051.41109957974,13647.546658956091,3,F,Business Entity,Secondary / secondary special,0
50,1.9603694183509512,65254.02969948924,243793.76287185808,27320.240945455083,1,F,Business Entity,Secondary / secondary special,1
55,1.332192820396592,47348.244004166016,102627.60466376375,10404.796794456075,2,F,Business Entity,Incomplete higher,0
23,1.1842238520430195,17022.60903248254,79921.36203355854,7732.530495862883,2,F,Business Entity,Secondary / secondary special,1
61,9.731259034154027,34181.01279444701,107034.45208388884,8882.59809644094,3,F,Other,Higher education,1
62,8.585862337780606,74552.80070999662,196783.5277165029,9864.383627720608,3,F,Government,Secondary / secondary special,0
49,2.904215886125399,27367.820517298776,114379.96506352015,8445.650746549221,2,M,Business Entity,Secondary / secondary special,0
62,0.7101490879105792,65652.20891189012,102234.49475168256,10931.264151621534,3,F,Government,Incomplete higher,0
64,2.408375397856146,37329.83852644029,112418.24989779538,8675.537096535154,2,F,Business Entity,Secondary / secondary special,0
38,4.8292888241870635,51857.34798191555,142273.88064009295,12728.865475177907,2,M,Business Entity,Higher education,0
33,3.0293747707053322,29552.66762116417,79311.51912813292,5102.25176664187,2,F,Other,Secondary / secondary special,1
38,7.574942070981285,37880.450529323585,101510.12849181956,11583.325018440553,2,F,Other,Higher education,0
28,10.0,45177.64320441399,72711.14981893872,8334.29236123743,2,M,Self-employed,Higher education,0
54,1.060598244929461,21128.603404772748,42941.93013402936,2586.174602282801,2,M,Other,Secondary / secondary special,0
53,3.077698590695155,41645.83174724594,83149.9867734149,8372.465832055705,2,F,Other,Incomplete higher,0
52,2.819232766884832,9468.60956442164,46965.59843160888,2595.633429497333,2,M,Government,Secondary / secondary special,1
36,1.8155676557713907,26882.99223180302,42410.07479967228,3897.415187462727,2,M,Other,Higher education,0
37,1.1038288818167277,47664.468645658664,99368.8726599568,6211.126464539378,2,F,Government,Secondary / secondary special,0
35,0.3397462766991768,63584.9102066257,312177.16061520285,18792.867671376207,2,F,Business Entity,Secondary / secondary special,1
64,10.907119613821635,45999.05219947016,170145.80578585225,8556.35816479026,2,M,Other,Secondary / secondary special,0
58,2.7223317170161643,18121.269051231855,55765.214084552645,6460.9576804549315,2,F,Business Entity,Secondary / secondary special,0
66,3.434787068764103,60865.94272027586,108077.4186182992,11677.513737557649,3,F,Business Entity,Higher education,0
31,12.44108350188524,20546.073564312646,78975.28656172148,4377.0701316044215,1,M,Business Entity,Secondary / secondary special,0
32,7.487034216458408,49370.05156498095,97866.76947418562,8999.465299830794,2,F,Other,Secondary / secondary special,0
48,0.6991919951632815,20891.19647042782,80413.37871752384,5331.638312904937,1,F,Business Entity,Secondary / secondary special,0
18,0.0,24671.3245258059,121558.52074533464,8324.462643298297,2,M,School,Secondary / secondary special,0
20,2.0,22512.487450422715,75684.82847942162,8415.541584020462,2,F,School,Secondary / secondary special,0
33,7.977948036351358,38928.398220589064,87561.50172277242,5078.812464067805,2,F,Government,Secondary / secondary special,0
40,6.44098666116397,32933.074745762846,121473.41988624494,11188.22546079044,2,M,Business Entity,Secondary / secondary special,0
28,5.862463095311309,46838.21548169125,154343.81257557342,12052.382264778485,2,M,Government,Higher education,0
29,2.081706465920766,35978.7073754781,121104.00243408156,7672.670261447634,2,F,Other,Higher education,0
27,8.17284869880662,17001.609129009124,53952.46966280113,4404.370220337676,2,M,Business Entity,Secondary / secondary special,0
49,0.2690681050094791,41685.40031149228,160826.109869269,18629.171832793498,2,M,Other,Secondary / secondary special,1
33,0.8695347045132342,15046.74811569974,52690.83448783228,5517.399726053956,2,M,Business Entity,Higher education,1
25,2.0445296521024843,23343.480198238,115654.87045945787,6852.296413738159,2,F,School,Higher education,0
55,0.39958721672247405,30273.9635694404,132918.5022810506,14549.270129790193,2,M,Self-employed,Higher education,1
29,1.3393598241838525,29243.0815478802,70956.70917930127,8204.074108142728,2,F,Other,Secondary / secondary special,1
41,8.864226859197787,15935.325760870344,64381.071740017476,4467.241593403588,2,F,Business Entity,Secondary / secondary special,0
45,14.806802815142525,72083.45159645235,162191.4584115992,11895.02078809495,3,F,Self-employed,Secondary / secondary special,1
25,1.8163572353376867,82784.93629586093,350860.145883889,20645.205643878275,2,F,Business Entity,Higher education,0
45,1.5361311328992409,111902.98305367462,225646.9648808985,16730.776378037564,2,F,Government,Secondary / secondary special,0
53,1.6417749199163612,64461.647191623764,203533.6812927061,19767.161777544545,3,F,Self-employed,Secondary / secondary special,0
43,1.626705700341393,29800.38913425941,127161.88696656382,8780.636517022047,2,F,Business Entity,Secondary / secondary special,0
25,0.18295780937939207,29544.717425465024,73282.55336745562,3699.138463476,2,M,Self-employed,Secondary / secondary special,0
67,13.080752766264126,28740.227687239778,127316.82143255403,9383.011063106534,3,F,Business Entity,Secondary / secondary special,0
45,1.2020725823761162,98009.41682750038,367979.04893629224,30072.05081959255,2,F,Government,Secondary / secondary special,1
45,2.723670998723134,34276.97981843131,99105.99671029043,8884.349406217418,2,F,Self-employed,Secondary / secondary special,0
54,0.04867052899933649,68501.87892663969,204269.75893741002,19991.423192449838,3,M,Government,Secondary / secondary special,0
58,9.758060051096631,65888.38735881247,312374.89211084193,16969.736055924182,2,M,Business Entity,Lower secondary,0
53,6.568144970695427,39925.6370067488,90322.51094453197,7486.167812663274,2,F,Business Entity,Secondary / secondary special,0
44,14.664354087055226,17574.06611490879,69009.30071476565,4737.169145792371,2,M,Other,Higher education,1
34,7.607489565322788,34649.572977988784,137750.407162608,16028.343912336459,1,F,Other,Secondary / secondary special,0
26,1.8822495887514128,39084.57387623614,184814.29694556943,13896.722151431006,2,F,Government,Secondary / secondary special,0
50,1.424252816323708,68800.11152695832,274930.401586851,15673.413488161588,3,M,Government,Secondary / secondary special,0
37,5.981946617924803,36670.53886905102,130020.38140418891,6878.650832069809,2,M,Self-employed,Secondary / secondary special,0
30,2.263670252819106,19844.79863321983,92453.52112035191,6340.315674413096,2,M,School,Secondary / secondary special,1
45,4.1760314782407715,59513.29422121978,261975.2658322875,16379.089653551098,2,M,Business Entity,Secondary / secondary special,1
65,0.03138565527956949,32410.228251977398,129923.45215183766,12405.867358766243,2,F,Self-employed,Secondary / secondary special,0
46,0.3194174209015165,10171.807737180263,16417.545253055778,1794.2350694944344,2,F,Business Entity,Higher education,1
30,3.832547289867954,42722.982543421465,119937.14589346276,8620.975211960049,3,F,Other,Higher education,1
63,4.174379212457699,46648.01465484995,173139.4173941964,15659.664181814129,2,F,School,Secondary / secondary special,0
52,6.960615465294877,23825.957189667497,79289.85100912115,8017.898312666243,2,F,Government,Higher education,0
23,0.707618053848331,32990.57190197477,86356.58758777096,6726.671971475207,2,F,Government,Secondary / secondary special,0
35,3.599335842945825,50456.07894571354,101188.8441077065,5529.241041607849,2,F,Business Entity,Higher education,0
22,1.081135404377421,42868.492760557565,147274.19414648224,9726.421322043714,1,F,Government,Secondary / secondary special,0
64,0.48914540546568025,16625.14396345498,41574.6889565522,4648.657488789349,2,F,Self-employed,Secondary / secondary special,0
42,2.6423671213641735,67966.83083044196,157377.31330556652,16951.67990764407,3,F,Business Entity,Secondary / secondary special,0
19,0.8916674869584816,85234.81957340479,246870.19311134174,13838.870802649208,2,M,Government,Secondary / secondary special,0
27,1.2537428018795245,28138.89486022535,119568.35527522213,7852.820400091574,2,F,Business Entity,Incomplete higher,0
47,1.91036362812799,13975.543854909938,44826.37884218623,4654.841545119501,3,F,Government,Secondary / secondary special,1
67,1.5013947432640615,53399.48621187201,120561.23415106299,10128.696043980564,2,F,Business Entity,Secondary / secondary special,0
62,0.4583362524137148,25937.725746402917,49519.294371338525,5110.276899420631,2,F,Self-employed,Secondary / secondary special,1
22,0.47109322545411536,47463.885593109095,154089.38879045343,9981.36713509071,3,F,Business Entity,Secondary / secondary special,1
50,1.073703616044442,109216.26010663279,467476.4353251307,54549.29686907091,2,F,Self-employed,Higher education,1
18,0.0,16761.606294522306,63440.384872377705,6651.884313469818,2,M,Self-employed,Higher education,1
35,4.923611032684971,24384.173166211316,56388.9144774596,3598.8342819322343,2,M,Self-employed,Higher education,0
49,1.693660957545311,32950.45020864991,99789.55043940379,8890.395149507223,2,M,Other,Secondary / secondary special,1
64,1.640756533281581,69274.98690344409,311273.7331254745,18027.978225054176,2,M,Business Entity,Secondary / secondary special,0
66,2.0173227595623593,214874.31714799345,455919.3973271398,34330.92988234348,1,F,Other,Secondary / secondary special,0
28,5.435340018576824,41090.92583684751,138159.28019732574,13287.260952860994,2,M,Business Entity,Secondary / secondary special,0
38,10.225543832333585,16056.814688646247,44105.0236614733,3224.471447192081,2,M,School,Secondary / secondary special,1
43,7.116595632818234,30553.64630737638,59109.974537657035,5672.966770428069,1,F,Business Entity,Secondary / secondary special,0
42,6.501119687567121,24650.889324202908,41281.95009556851,2771.445659896614,2,F,Self-employed,Higher education,0
39,3.3120345632103425,52093.358251768404,179490.2625155625,18035.984731389995,3,M,Other,Secondary / secondary special,1
44,5.917674720429553,43846.156884704294,68953.38963326196,5183.313881562265,2,F,Other,Secondary / secondary special,0
66,4.023326052442183,21570.745830468826,40166.053361866354,4230.838571722248,2,M,Business Entity,Secondary / secondary special,0
30,1.2183293047871981,23938.83436019989,65029.244687184866,3873.6811680911023,2,M,Business Entity,Secondary / secondary special,1
50,1.1696852590404523,30332.389735096134,50118.83388508537,3775.8755842098403,2,F,Self-employed,Secondary / secondary special,1
51,1.757669529290979,32219.297232681747,93486.16906663902,7710.297199967608,3,F,Other,Secondary / secondary special,0
58,12.08452091726132,35557.47007733904,69560.2816780634,5541.811068960435,3,F,Business Entity,Higher education,0
52,3.9638966774666717,37213.86208701815,101391.24443898734,8143.40157605964,2,F,Other,Higher education,0
18,0.0,67334.3151380617,287454.15763977787,23322.947607134014,3,F,Government,Higher education,1
38,2.1275133275879003,29789.000511086742,109989.18798872599,13112.498176887331,2,F,Self-employed,Secondary / secondary special,1
65,2.61884321098963,27673.113246466906,84649.3904996929,5377.013699357021,2,M,School,Secondary / secondary special,0
23,0.6708898860035701,18594.348873927785,33868.05528666151,3515.723201929645,2,F,Other,Secondary / secondary special,0
45,0.9394549335107449,32469.95189879405,119068.08664455546,10552.434740108858,2,F,Other,Secondary / secondary special,0
34,8.78263410922558,41278.54378869337,85569.7518920832,6756.073272526414,2,F,Business Entity,Secondary / secondary special,0
22,4.0,15335.900845074075,27114.67328203077,2558.1883567709347,2,F,Business Entity,Lower secondary,0
48,2.0589186371510024,30600.93072423868,117017.53254643943,12842.34666688582,2,F,Other,Secondary / secondary special,0
22,4.0,64870.42287288025,304385.62370897684,25161.941847536604,3,M,Business Entity,Secondary / secondary special,1
55,1.4152633941659696,50219.21600357171,156286.06852387966,17275.251846823587,3,F,School,Higher education,0
20,2.0,43770.55396518058,71936.27895945548,4069.13917124104,2,F,Business Entity,Secondary / secondary special,0
40,2.114208103269256,49543.49003975992,226960.80924196093,21723.75710896776,1,F,Government,Secondary / secondary special,0
54,2.0572470480120013,27259.241086839338,47278.65076065535,3466.5938012049655,2,F,Business Entity,Higher education,0
54,1.8691920248385876,25502.712729744744,115687.86265715478,8916.072009679254,2,F,Business Entity,Secondary / secondary special,1
27,0.6511785235846411,68593.59145789842,196957.43022935008,17720.53230384957,3,F,School,Higher education,0
27,0.5890616341693988,54957.73365110794,152720.99553592224,12766.585761525348,3,M,Business Entity,Secondary / secondary special,0
36,5.222112707375539,25005.810308441836,85014.5245357885,6522.702047761315,3,F,Self-employed,Higher education,0
34,10.401931721648525,14194.899943402239,68842.38118849865,4927.9193568228675,2,M,Business Entity,Secondary / secondary special,0
38,7.815647227353367,25266.690488027765,117378.73286809237,10949.331311626835,3,M,Other,Secondary / secondary special,1
31,0.7605580990770505,47656.156999349376,149933.67135321852,12802.922502881764,1,F,School,Secondary / secondary special,0
26,3.9436903385071735,26130.798809542786,102834.65721342711,7469.049677383255,2,F,Government,Secondary / secondary special,0
63,0.5579636222658263,42831.7061580737,151260.27237384263,9733.185786592921,1,F,Government,Higher education,0
18,0.0,73856.94141310899,290044.7413795499,30226.36700132701,3,F,Business Entity,Secondary / secondary special,1
62,5.341179677126958,34665.02252278933,152617.82657055493,16174.444084551458,3,F,Self-employed,Higher education,0
30,3.830227631898696,40822.14882660634,66161.61599476582,4298.200557043599,2,M,Other,Secondary / secondary special,0
21,0.4279184478922515,51146.63223477437,135035.26641212552,9224.992415303082,2,F,Government,Incomplete higher,1
18,0.0,21140.752838654484,102694.41774632822,6853.82662908852,3,F,Business Entity,Secondary / secondary special,1
66,22.905517338501852,24673.26104604848,118991.17053161886,13317.477787591568,2,F,Self-employed,Secondary / secondary special,0
57,0.15240599816396866,52212.67601627512,80369.568449939,8373.635147991892,2,M,Self-employed,Higher education,0
49,2.9396876588612013,36992.9917037996,81571.04324830582,4504.364968729481,2,F,Self-employed,Incomplete higher,0
51,3.5121408259141775,38595.04985592467,192133.68993750468,20805.50719666689,2,F,Other,Higher education,1
45,0.6237369844777373,36924.95593111308,119078.83862934554,6261.120972405565,3,F,Government,Secondary / secondary special,0
48,0.9259991458813703,59227.8402298644,207595.41689104022,14059.188976161004,2,F,Business Entity,Secondary / secondary special,0
25,2.1678185593130235,45155.00115325596,94033.96457205388,10750.846456394163,2,M,Business Entity,Secondary / secondary special,0
56,7.170618335793833,45451.906482492835,210450.2643101352,23255.425675961666,2,M,School,Higher education,1
43,3.5370665384013233,66909.69000675662,154522.9141071663,16178.613393299991,1,M,Self-employed,Secondary / secondary special,1
51,5.079200195584795,81087.72960088146,175454.92949997482,14392.270652837795,2,F,Business Entity,Secondary / secondary special,0
20,2.0,111501.78312244889,256278.866275056,18579.958212748472,3,F,Business Entity,Higher education,0
67,7.305206678322241,27186.97160958319,128286.50933877658,14330.656149352368,2,F,Other,Higher education,0
29,2.849000470616435,124829.4527913203,494320.0736727164,47452.347573357525,3,F,Business Entity,Higher education,0
18,0.0,20986.05667391437,87933.4112403586,6215.62767934389,3,F,School,Higher education,0
61,4.821789298649952,95570.90402588167,269474.3256468555,22211.074062342737,2,M,Business Entity,Secondary / secondary special,0
22,4.0,26450.22835356579,123843.13133589194,13833.89891266605,2,M,Business Entity,Secondary / secondary special,1
47,3.4728502201178464,35085.039793823744,149564.99266559503,16937.02103023093,2,F,School,Higher education,0
47,5.1762332212436855,36654.37133269303,151275.91756243128,14545.352923269962,1,F,Other,Secondary / secondary special,0
34,0.11906902814401397,23541.371110085645,115312.48606799723,11678.722927207249,2,F,Other,Secondary / secondary special,1
65,2.807287473280295,37924.754594234284,105494.86918493573,5564.94384354747,2,M,Business Entity,Higher education,0
64,1.6351512960901624,24157.035581544555,87893.14580993631,8114.474130712997,2,M,Government,Higher education,0
40,0.6915680187682998,19585.17704067519,91751.7354326425,9012.725241008275,2,F,Self-employed,Incomplete higher,1
32,0.5242838395155899,35619.13183161201,152026.4191076846,7818.171484540906,2,F,Business Entity,Secondary / secondary special,0
54,4.621515799258397,80413.58794041487,279182.01381431415,30450.418305021263,2,F,Business Entity,Secondary / secondary special,0
38,3.7074929500839477,31983.970374876295,56507.61238890958,6497.242493181094,2,F,Other,Higher education,0
31,1.4623617509786553,58134.26091028229,220010.97294627575,14664.952775036785,2,F,Self-employed,Secondary / secondary special,0
19,1.0,23793.479550146123,79540.28038544784,8686.253213763546,2,M,School,Higher education,0
28,3.388656246772471,19115.63689473582,40995.999229061206,3959.634694390341,2,F,Government,Lower secondary,0
56,1.084620787250839,45566.59122809363,209054.322850854,18950.504139156652,3,F,Government,Secondary / secondary special,1
55,5.279101270853492,87361.17076917423,235994.8530570601,25727.8799717083,2,M,School,Lower secondary,0
51,7.591576906339013,40314.93303472222,115146.69041016226,8059.432076121461,2,M,School,Secondary / secondary special,0
55,7.838206945954712,54903.02484115043,211563.61354051638,22290.328028984826,2,M,Business Entity,Secondary / secondary special,0
67,4.612422250832283,76692.73054539289,246244.68156812497,17733.668718077573,2,F,Business Entity,Secondary / secondary special,0
51,3.5834976882637797,35658.21468192491,64629.935270370646,6794.025341265038,2,F,Other,Higher education,0
35,0.3147370341865357,33656.73148405434,96125.16190983652,7841.292848831212,2,F,Business Entity,Secondary / secondary special,0
47,1.6972022791040289,45983.787850388355,84179.3665177077,4898.076025403537,2,F,Government,Secondary / secondary special,0
32,0.489560767298314,50262.24878129212,108949.77793115519,8357.14418052417,1,F,Other,Secondary / secondary special,0
44,16.596680840923103,18042.98879079149,27517.552273768357,1825.6390580907653,2,F,Business Entity,Lower secondary,0
51,0.7255921546960757,42102.51738013311,89871.85614578685,5126.0398022153795,2,M,Business Entity,Secondary / secondary special,0
55,0.8230491569113779,36303.131918525425,96441.65647294372,5566.621553289806,2,F,Other,Secondary / secondary special,0
50,11.017166885394543,24470.915782614848,82803.81654972075,8661.69305590498,3,F,Other,Secondary / secondary special,1
41,14.405618776882331,35069.77070526664,165440.59959554384,18479.359224025116,1,F,Self-employed,Higher education,1
32,7.258519144118097,20278.927750999235,68768.76488603774,7901.4649546296005,2,M,Government,Secondary / secondary special,1
47,0.027097915593041345,17060.75601388921,67724.58853697007,7434.550147614544,2,F,Business Entity,Incomplete higher,1
59,0.006735889967388211,37549.829809825875,103332.24338365761,11171.836463040248,2,F,Government,Secondary / secondary special,0
34,2.3748860433623293,57013.22353186099,235504.96586257382,12910.031233436455,2,F,Self-employed,Secondary / secondary special,1
22,0.7738940436914978,30526.628001015128,112082.8070909169,11803.289285708113,2,M,Business Entity,Secondary / secondary special,1
46,0.0927863403630786,22463.23761332061,69844.47402679516,7321.781277800739,1,M,Business Entity,Secondary / secondary special,1
21,3.0,24278.60059048063,52883.42400894086,3130.187191028508,1,F,Business Entity,Secondary / secondary special,0
27,9.0,47785.24834803486,122444.59437558854,11796.391350178596,2,F,Business Entity,Higher education,0
34,1.956476687595054,83591.12297884935,307056.2171039913,25078.974221348864,2,F,Other,Secondary / secondary special,1
27,5.410851191727975,53381.95762756458,159675.95873099627,18043.534492738356,1,F,Self-employed,Secondary / secondary special,0
34,5.281146650539041,69591.37732397465,321014.79008754046,31677.285367946602,2,F,Business Entity,Secondary / secondary special,0
37,1.4456162433387125,21508.170197463827,49940.7011491167,5821.543961997924,2,F,Other,Incomplete higher,1
41,5.255189299225593,34997.60962226758,61447.202985084434,3523.6643649888347,1,M,Business Entity,Higher education,0
22,1.1934055210036523,60436.31380582866,215317.66499620656,11377.926298886248,2,M,Other,Secondary / secondary special,0
51,0.6505856454605476,18041.162097914956,83010.59706889259,9807.748118160263,2,M,Self-employed,Secondary / secondary special,0
23,5.0,26129.321534791237,72550.3241200066,4034.7739173301493,2,M,Other,Secondary / secondary special,0
19,0.602036977600845,58163.28417350702,219100.4907734458,16878.123111398247,1,M,Business Entity,Higher education,0
30,12.0,41324.585210863734,95457.48500039708,9115.99351471253,2,F,Business Entity,Secondary / secondary special,0
60,1.0133503603387446,22414.07825293979,77432.83411995423,8641.811474168291,2,M,Business Entity,Secondary / secondary special,1
60,4.508757980482891,16068.069107288955,68349.90813498905,4635.518948671613,2,F,Business Entity,Secondary / secondary special,0
65,2.649826211512312,70873.90496507677,321385.56041457556,16723.000300520736,1,F,Self-employed,Higher education,1
28,0.6755856599710943,13007.843598497097,24297.571598900937,2101.49879804512,3,M,Business Entity,Secondary / secondary special,0
64,0.14119449251295446,49821.285405910756,136874.55581560326,11357.55518677098,2,M,Government,Secondary / secondary special,0
40,4.87400108505234,27819.090769047205,104008.77991902763,7434.809977098164,1,M,Government,Secondary / secondary special,0
33,8.219048660992254,61299.94092260541,99399.69555372317,11050.55795288263,2,M,Business Entity,Secondary / secondary special,0
48,9.226296871643152,21567.13376851525,84481.76706755275,8655.37263445497,2,F,Business Entity,Higher education,0
28,3.295791736544091,134242.00636332875,449458.15703890903,49471.02642017938,3,F,Other,Secondary / secondary special,0
33,7.5131402495389175,44406.868297598514,111460.43909397889,6835.492791785737,2,F,Business Entity,Secondary / secondary special,0
25,5.586638678169987,48220.26316896922,209820.37675141386,20660.768504013973,2,M,Business Entity,Secondary / secondary special,1
21,3.0,24673.286191015985,62057.694106859926,7338.764270721415,2,F,Self-employed,Secondary / secondary special,1
57,3.392268356392516,33972.60803632065,168842.25373545487,15674.297127723647,2,F,Government,Secondary / secondary special,0
21,3.0,34415.95223456231,149960.4793717021,9296.875734270805,2,M,Self-employed,Secondary / secondary special,0
42,8.187281782766403,89146.30403659091,354617.91365384817,42449.40529875111,2,M,Other,Secondary / secondary special,1
20,2.0,44368.648569878904,76079.65169434556,6617.609769398219,1,F,Other,Secondary / secondary special,0
49,8.198941837090297,47663.19821478286,222352.9330991713,24192.91772326794,1,M,Business Entity,Secondary / secondary special,0
20,2.0,47397.484575184724,202159.44644811156,12221.610249731308,2,F,School,Secondary / secondary special,0
44,0.9070160392520134,49727.105690488985,114451.29866873972,11059.055334688068,2,M,Self-employed,Secondary / secondary special,1
46,0.12496959566914294,18129.092459929405,52082.501102694245,5931.323914247583,2,M,Self-employed,Secondary / secondary special,0
49,2.252994428212323,101177.74028856053,246894.9772034622,21539.425772676565,3,F,Government,Secondary / secondary special,0
67,3.9559651056312233,23417.894092190472,115812.167647158,8130.732695421931,2,F,Government,Secondary / secondary special,1
36,9.157296474435864,35624.818832889854,159944.30582797306,9423.842998799184,2,F,Self-employed,Secondary / secondary special,0
38,0.6818810629676415,78099.69642066016,371425.64273255493,26265.782761586983,2,M,Business Entity,Secondary / secondary special,1
22,4.0,95541.18101781806,407073.2488758036,30466.1330259997,2,F,Other,Secondary / secondary special,0
35,9.939201925109279,54337.889306145786,168296.33468837172,16778.615674662014,3,F,Business Entity,Higher education,0
